Nome: ALEGRETE
Codigo Estacao: A826
Latitude: -29.70916666
Longitude: -55.52555554
Altitude: 120.88
Situacao: Operante
Data Inicial: 2007-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2019-11-30;156,6;22,868333;
2019-12-31;40,6;24,349462;
2020-01-31;77,6;25,170296;
2020-02-29;83,2;24,123444;
2020-03-31;33,8;25,097809;
2020-04-30;26,6;19,552778;
2020-05-31;187,4;15,655978;
2020-06-30;163,4;15,320972;
2020-07-31;47,4;12,568952;
2020-08-31;33,8;16,111962;
2020-09-30;172,6;16,593098;
2020-10-31;89,8;20,176344;
2020-11-30;112,2;22,603472;
2020-12-31;128,4;23,791147;
2021-01-31;null;24,585467;
2021-02-28;85;23,337351;
2021-03-31;79,2;22,505131;
2021-04-30;67,2;20,600743;
2021-05-31;203;14,184274;
2021-06-30;192;12,824861;
2021-07-31;21,2;12,799193;
2021-08-31;26,2;15,758468;
2021-09-30;279;17,35625;
2021-10-31;89,2;19,469489;
2021-11-30;63,2;22,382705;
2021-12-31;71,6;24,725923;
2022-01-31;40;27,652472;
2022-02-28;54;25,777316;
2022-03-31;238,4;21,626917;
2022-04-30;201,4;18,744583;
2022-05-31;72,8;14,137097;
2022-06-30;null;null;
2022-07-31;null;null;
2022-08-31;null;14,628289;
2022-09-30;51,2;15,218611;
2022-10-31;73;18,43172;
2022-11-30;77;22,056;
2022-12-31;71;25,763582;

