Nome: ERECHIM
Codigo Estacao: A828
Latitude: -27.65777777
Longitude: -52.30583333
Altitude: 777.08
Situacao: Operante
Data Inicial: 2007-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2018-05-31;76,4;15,770027;
2018-06-30;112,8;12,444444;
2018-07-31;89,2;14,210081;
2018-08-31;80;12,065054;
2018-09-30;185;16,642917;
2018-10-31;226,2;17,603629;
2018-11-30;184;20,356945;
2018-12-31;123,2;21,73293;
2019-01-31;232,4;23,327554;
2019-02-28;193,8;21,00372;
2019-03-31;214;19,652823;
2019-04-30;147,8;19,161528;
2019-05-31;270,6;16,479032;
2019-06-30;38,2;16,182917;
2019-07-31;137,4;12,789919;
2019-08-31;38,2;14,049194;
2019-09-30;60,6;17,253333;
2019-10-31;193,4;19,766667;
2019-11-30;129,8;20,888195;
2019-12-31;113,4;21,844355;
2020-01-31;132,2;21,724059;
2020-02-29;91,2;21,066954;
2020-03-31;27,8;21,996774;
2020-04-30;67,6;17,3075;
2020-05-31;146;14,220259;
2020-06-30;205,6;14,151786;
2020-07-31;218,8;12,891129;
2020-08-31;95,8;15,4375;
2020-09-30;67;18,057917;
2020-10-31;18,2;20,035215;
2020-11-30;133,8;20,041528;
2020-12-31;144,4;21,863441;
2021-01-31;310,4;21,371909;
2021-02-28;32,6;20,445238;
2021-03-31;95,6;20,67836;
2021-04-30;5,4;17,860417;
2021-05-31;115,6;14,067607;
2021-06-30;183,4;12,304861;
2021-07-31;46,8;12,082393;
2021-08-31;32,2;16,258567;
2021-09-30;null;null;
2021-10-31;null;null;
2021-11-30;63,8;20,747361;
2021-12-31;26,2;22,792339;
2022-01-31;202;23,446508;
2022-02-28;null;null;
2022-03-31;null;null;
2022-04-30;null;null;
2022-05-31;null;null;
2022-06-30;183,4;10,774015;
2022-07-31;null;16,440624;
2022-08-31;null;null;
2022-09-30;null;null;
2022-10-31;null;null;
2022-11-30;63,4;18,650119;
2022-12-31;null;null;

