Nome: RIO GRANDE
Codigo Estacao: A802
Latitude: -32.07888888
Longitude: -52.16777777
Altitude: 4.92
Situacao: Operante
Data Inicial: 2007-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2013-01-31;78,8;22,933602;
2013-02-28;194,8;23,444494;
2013-03-31;31,2;20,681466;
2013-04-30;149,4;19,10625;
2013-05-31;89,4;15,315995;
2013-06-30;128,4;13,305051;
2013-07-31;73,4;12,220565;
2013-08-31;112,4;12,157661;
2013-09-30;120,8;15,592778;
2013-10-31;119,2;17,531989;
2013-11-30;148,2;20,288333;
2013-12-31;64,6;23,265591;
2014-01-31;206,4;25,028763;
2014-02-28;158,6;24,583929;
2014-03-31;181;21,647312;
2014-04-30;55,4;19,684861;
2014-05-31;36,2;15,496102;
2014-06-30;147,8;14,127361;
2014-07-31;199,8;14,604454;
2014-08-31;58,8;14,295968;
2014-09-30;108,4;16,5375;
2014-10-31;255,2;19,388306;
2014-11-30;69,8;21,334722;
2014-12-31;146,8;23,038172;
2015-01-31;173;24,490865;
2015-02-28;null;null;
2015-03-31;null;null;
2015-04-30;null;19,888044;
2015-05-31;127;17,405511;
2015-06-30;122,8;14,353611;
2015-07-31;148;14,107392;
2015-08-31;62,2;17,813844;
2015-09-30;278,8;15,456111;
2015-10-31;203,6;16,618145;
2015-11-30;124,4;19,139028;
2015-12-31;136,4;22,398521;
2016-01-31;63,2;24,046424;
2016-02-29;154;24,53908;
2016-03-31;189,8;21,617742;
2016-04-30;null;21,900198;
2016-05-31;null;null;
2016-06-30;null;null;
2016-07-31;null;null;
2016-08-31;118,6;13,976479;
2016-09-30;90,6;14,067222;
2016-10-31;76,8;17,118473;
2016-11-30;105,4;19,597361;
2016-12-31;77,2;22,368548;
2017-01-31;66,6;24,039516;
2017-02-28;74,8;25,246131;
2017-03-31;169,2;22,477016;
2017-04-30;93,4;19,554444;
2017-05-31;173,2;17,558111;
2017-06-30;33,8;14,811528;
2017-07-31;33;15,165948;
2017-08-31;null;null;
2017-09-30;null;null;
2017-10-31;233,4;18,391398;
2017-11-30;30,8;19,43625;
2017-12-31;30,2;22,249059;
2018-01-31;97,2;23,978629;
2018-02-28;65,4;23,124107;
2018-03-31;76;21,333199;
2018-04-30;76,8;22,499861;
2018-05-31;null;17,159274;
2018-06-30;null;11,809861;
2018-07-31;225,8;12,839785;
2018-08-31;47,6;12,910081;
2018-09-30;175,4;17,355556;
2018-10-31;null;17,849328;
2018-11-30;null;21,079722;
2018-12-31;46,2;21,798253;
2019-01-31;222,2;24,640188;
2019-02-28;31,8;23,778869;
2019-03-31;23,6;22,108333;
2019-04-30;63,6;20,138472;
2019-05-31;44,4;18,119355;
2019-06-30;38,4;16,664444;
2019-07-31;120,6;11,81828;
2019-08-31;97,4;13,065995;
2019-09-30;163,6;14,66;
2019-10-31;196,6;18,632796;
2019-11-30;45,8;21,065972;
2019-12-31;38,8;22,439919;
2020-01-31;32,6;23,915726;
2020-02-29;31,2;23,433764;
2020-03-31;29,2;23,420296;
2020-04-30;52;19,227222;
2020-05-31;100,8;15,828898;
2020-06-30;205,8;14,258333;
2020-07-31;102,6;12,254301;
2020-08-31;43,2;13,854167;
2020-09-30;156,6;14,618195;
2020-10-31;125,4;17,323118;
2020-11-30;29,8;19,937917;
2020-12-31;119;22,127016;
2021-01-31;192,2;24,029032;
2021-02-28;null;23,137879;
2021-03-31;null;null;
2021-04-30;32,4;20,534262;
2021-05-31;25,8;14,293145;
2021-06-30;77,2;13,758404;
2021-07-31;64,2;12,034409;
2021-08-31;112;14,316199;
2021-09-30;170,2;16,555423;
2021-10-31;65,6;17,946774;
2021-11-30;49,2;20,340833;
2021-12-31;18,6;21,860215;
2022-01-31;70,4;25,117339;
2022-02-28;50,6;23,516964;
2022-03-31;65,6;21,687769;
2022-04-30;123,8;18,467361;
2022-05-31;57,2;14,597861;
2022-06-30;null;12,263942;
2022-07-31;null;13,857967;
2022-08-31;118;14,099195;
2022-09-30;null;14,900625;
2022-10-31;102,8;17,21828;
2022-11-30;49,8;20,072639;
2022-12-31;17,4;22,596909;

